price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state
1105,apartment,589,1,1,1,1,1,0,0,0,w/d in unit,attached garage,la
795,apartment,671,1,1,1,1,1,0,0,0,laundry on site,off-street parking,fl
765,apartment,718,1,1,1,1,1,0,0,0,laundry in bldg,attached garage,tn
1750,apartment,1500,2,2,0,1,1,0,0,1,w/d in unit,off-street parking,vt
955,apartment,952,2,1.5,1,1,1,0,0,0,w/d in unit,detached garage,mt
561,apartment,625,1,1,1,1,1,0,0,0,laundry on site,off-street parking,in
1100,apartment,1170,2,2,0,0,1,0,0,0,laundry on site,off-street parking,ca
1035,apartment,805,2,1,1,1,1,0,0,0,laundry on site,off-street parking,ga
2600,apartment,2400,3,3,1,1,0,0,0,0,w/d in unit,attached garage,me
906,apartment,650,1,1,1,1,1,0,0,0,w/d hookups,off-street parking,va
1250,apartment,700,1,1,1,1,1,1,1,1,w/d in unit,attached garage,tn
800,apartment,600,2,1,0,0,1,0,0,0,laundry in bldg,street parking,ma
725,apartment,848,2,1,1,1,1,0,0,0,laundry on site,off-street parking,tx
995,apartment,980,2,2,1,1,1,0,0,0,w/d hookups,off-street parking,fl
495,apartment,726,1,1,0,0,1,0,0,0,no laundry on site,street parking,oh
1815,apartment,1390,2,2,1,1,0,0,0,0,w/d hookups,detached garage,tx
595,apartment,800,1,1,0,0,1,0,0,0,laundry on site,off-street parking,ks
1515,apartment,1255,2,2,1,1,1,0,0,0,w/d hookups,carport,tx
1370,apartment,1149,2,2,1,1,1,0,0,0,w/d in unit,off-street parking,ga
1200,apartment,1200,2,2,1,1,0,0,0,0,laundry on site,attached garage,vt
850,apartment,1400,2,1,0,0,0,0,0,0,no laundry on site,street parking,tx
900,apartment,1000,1,1,0,0,0,0,0,1,w/d in unit,street parking,oh
950,apartment,975,2,2,1,0,1,0,0,0,w/d hookups,street parking,ky
